$	0m	0m	1m	1m	1m	2m	2m	2m
ASPARTASE-MONOMER	121.0000	121.0000	121.2381	124.2727	125.0000	125.0000	125.0000	125.0000
ASPCARBCAT-MONOMER	5109.0000	5153.8095	5245.0000	5326.0909	5393.9048	5460.1818	5544.8571	5615.8636
ASPCARBREG-MONOMER	2147.0000	2183.3810	2262.4286	2334.9091	2389.8095	2449.0909	2508.9524	2553.8636
ASPDECARBOX-MONOMER	3258.0000	3259.4762	3264.3333	3266.2727	3275.2381	3290.5000	3315.5238	3326.2727
ASPKINIHOMOSERDEHYDROGI-MONOMER	2301.0000	2301.0000	2301.5714	2304.8182	2326.7619	2369.8636	2424.6667	2497.4545
ASPKINIIHOMOSERDEHYDROGII-MONOMER	239.0000	239.0000	239.0000	239.0000	239.0000	239.0000	239.0000	239.0000
ASPKINIII-MONOMER	1418.0000	1419.1905	1421.0000	1423.9091	1429.3333	1442.7727	1452.8095	1462.0000
ASPS-MONOMER	1051.0000	1053.1429	1059.5238	1068.3636	1073.1905	1079.8182	1083.4286	1086.9091
ATOA-MONOMER	51.0000	51.0000	51.0000	51.0000	51.0000	51.0000	51.0000	51.0000
ATOC-MONOMER	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000
ATOD-MONOMER	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000
ATOS-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
ATPA-MONOMER	2961.0000	2966.3810	2982.1429	2999.4545	3020.3810	3039.9545	3059.1905	3078.6818
ATPB-MONOMER	1929.0000	1934.6190	1945.1429	1956.3636	1965.7143	1974.6818	1987.7619	1999.0455
ATPC-MONOMER	1547.0000	1549.4762	1555.2857	1564.3182	1569.0000	1575.3182	1580.6190	1588.6818
ATPD-MONOMER	4153.0000	4157.8095	4173.1429	4195.0909	4219.4286	4245.5000	4266.0952	4285.7727
ATPE-MONOMER	8452.0000	8471.0476	8519.9048	8574.0909	8642.7143	8709.9545	8771.2381	8834.9091
ATPF-MONOMER	1604.0000	1609.9524	1617.0476	1623.4091	1630.5238	1637.6818	1648.8571	1661.2727
