gene	uniprot	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose
rlmB	P63177	471.0554286620982	742.4077266233822	553.7583464482187	214.55747954411044	269.9320609628172	303.01252853682297	405.581950257343	334.46976706044967	262.68511489541226	218.04597864237073	192.37752537100175	162.68137780473626	186.3808119576265	130.9326962032997	341.97980578599476	426.3317364876445	269.3275028723557	289.67471854609755	280.53908529946557	202.84942209395433	194.18218871186744	320.2424523683888
rluD	P33643	390.7681330728158	512.7631135018225	531.6085964000335	316.8685423650456	246.9443949991086	236.8388222631826	201.25029063419603	265.8465769666569	275.22222128461755	270.7537710096337	224.3415256209257	212.47614916000572	125.39409301242513	112.53245046384639	263.5483692032062	365.97004490415594	303.19856643805997	185.54323962491378	194.41808846857342	157.992677876349	175.99460612667087	196.89363004226223
speG	P0A951	90.24563613222371	160.61627578783464	130.43019692607632	58.08928983019346	84.36942337864456	69.57027684295325	75.44824939317226	84.34121882674576	103.87467293948275	76.70848940622588	62.841609732929875	57.02506557143687	36.993214925395506	28.072922899280425	47.395928497448814	208.2869645881438	57.17570659203071	88.7324879775245	67.97699184075923	52.62008352065591	61.82880289226976	83.56091372139221
truA	P07649	45.45328087	206.1041096	NA	30.07489525	73.17770753	55.39042038	32.01396851	578.5277786	39.28607395	42.15599888	49.33110995	4.247520239	9.172101882	7.439426268	41.32031752	90.10053646	60.01036248	NA	NA	20.65084645	42.81953789	NA
ridA	P0AF93	9263.35463821125	18215.10074697146	16609.22125645192	9735.367725657989	11110.624066106579	7937.043670186766	8991.192086841862	8025.855279373	11280.973599520434	8350.889401484501	5446.618313845234	5119.174900869245	9945.208475463076	9769.83370374375	16175.909124437454	11542.329693080856	13380.665348257366	11144.340371960392	8506.693298019909	6935.192677825033	10934.522485838137	8309.138011375719
fabA	P0A6Q3	2067.4441073464186	5840.857651652588	5340.032201679303	1007.1316302282096	1925.977477521855	3104.889209015408	2122.149783732278	1387.0905636688035	2560.8940560897727	1880.1133949651735	1783.0846769279638	1515.0532809931944	2333.202868799615	1685.054449974746	2380.951943261826	2194.344331344089	2182.5150691089143	1925.8798462108975	2083.9898547337757	1648.9557372466784	2261.4467396142513	2200.959088478673
fabZ	P0A6Q6	4929.769084657034	9123.156640083927	6919.107193056372	2792.6076434792462	3074.0135673459013	4652.148631491319	4210.890384543187	3318.384776358885	4999.682445894334	3850.9715207892227	3286.625528794981	2858.035093086372	2597.2773266823287	2928.0470782684747	6068.33460799542	5767.848522741752	5143.42795732596	5677.299016624701	4842.348594953981	3688.40489701719	3997.1995977473407	5630.6309803435925
azoR	P41407	801.6460854537908	448.33715482078213	482.9119904533685	625.3618288256952	1018.7890592655374	509.9972378771206	752.196798194345	410.8204741465484	732.3006971682921	443.3324448375765	276.0545776138332	155.2587701378643	72.45086788831297	79.85229948993575	1372.9646448478672	1418.3306976401311	956.318908057923	1693.260155424968	982.333048268741	414.95131976563385	807.1210146958897	1117.7104278969907
yciK	P31808	319.1458479450157	236.66772756996204	202.01357772668703	139.02350718408067	184.35145436723326	211.37401249735646	245.15639452336947	220.68816200216804	194.11839522743867	187.91089857731222	176.25380132348678	166.6781699758659	114.22000913997248	114.89832171658362	321.0059275380029	441.5218330146784	361.0583367986605	284.8936694185192	222.67926171269565	212.80719889678394	171.36038574331	279.1268982246013
kduD	P37769	51.83523509	59.86207244	NA	25.11028849	42.64834472	49.23118795	28.81259945	36.20124433	24.27611517	39.06707703	55.18233836	7.132765198	7.45163984	33.21933731	15.19601924	42.35861842	22.27613743	NA	NA	22.99769266	31.01072187	NA
pdxJ	P0A794	644.8664483653462	994.4780913330903	889.8277508412854	638.1016139444502	632.4116276223033	878.474694496053	753.6947955047334	782.5615440481226	689.2452189345634	742.9192870070407	1036.4511507036916	1034.6367444846387	2272.474561027523	2282.8884841040604	2051.905048654007	3024.003930731052	2745.7766516637703	1791.8529416743638	1471.1972253397707	1372.4338910292306	1614.9261997474148	1577.4448142910526
cmoA	P76290	556.2650243050274	499.1231257895971	453.23230576531927	260.33666015763265	332.897455543083	379.6313733253218	397.33648844085656	271.3341351718415	347.0357715465526	201.0895284526008	202.4980456712992	206.77114119973427	205.79967489235332	160.92794022941482	398.8948551096667	612.1252780799279	392.5005858719942	439.0776722354405	287.3258164528711	248.51261940248793	261.74374796560073	322.86808272200625
panE	P0A9J4	25.25850288	62.87910777	NA	11.91008932	16.63010401	19.38465926	60.99259287	11.07921944	16.51096879	15.61667453	31.93481025	10.11633083	35.49521319	20.8554704	54.31528109	29.95952923	35.60721598	NA	NA	5.328918976	21.71921442	NA
